Date,Product,Units_Sold,Revenue
2025-01-01,Laptop,5,5000
2025-01-02,Phone,10,4000
2025-01-03,Tablet,6,3000
2025-01-04,Laptop,4,4000
2025-01-05,Phone,12,4800
2025-01-06,Tablet,7,3500
2025-01-07,Laptop,3,3000
2025-01-08,Phone,15,6000
2025-01-09,Tablet,5,2500
2025-01-10,Laptop,6,6000
2025-01-11,Phone,9,3600
2025-01-12,Tablet,8,4000
2025-01-13,Laptop,7,7000
2025-01-14,Phone,11,4400
2025-01-15,Tablet,6,3000
2025-01-16,Laptop,5,5000
2025-01-17,Phone,14,5600
2025-01-18,Tablet,9,4500
2025-01-19,Laptop,4,4000
2025-01-20,Phone,13,5200
